Evaluations,Fitness
1,(np.float64(-0.16996035433256715),)
5,(np.float64(-1.3332319695582648),)
13,(np.float64(-2.053203688319184),)
15,(np.float64(-3.12498953209555),)
68,(np.float64(-3.269404078278206),)
166,(np.float64(-3.7737736373549775),)
249,(np.float64(-3.8183683383698215),)
362,(np.float64(-3.8491842031083134),)
428,(np.float64(-3.8514930160616565),)
553,(np.float64(-3.853888533698115),)
616,(np.float64(-3.8561703124403994),)
635,(np.float64(-3.857203066813708),)
643,(np.float64(-3.85798998869895),)
653,(np.float64(-3.8593752222906246),)
663,(np.float64(-3.859808277485536),)
684,(np.float64(-3.8606304574012924),)
699,(np.float64(-3.862401028389431),)
768,(np.float64(-3.8626271028621164),)
822,(np.float64(-3.862747510380932),)
841,(np.float64(-3.8627513410661614),)
857,(np.float64(-3.862764112091668),)
988,(np.float64(-3.862775066786691),)
1061,(np.float64(-3.8627761163592456),)
1067,(np.float64(-3.8627781642577097),)
1148,(np.float64(-3.862779033881271),)
1157,(np.float64(-3.8627791098316147),)
1202,(np.float64(-3.862779526955415),)
1265,(np.float64(-3.8627797637694705),)
1291,(np.float64(-3.86277977809796),)
1404,(np.float64(-3.8627797816104716),)
1442,(np.float64(-3.86277978315382),)
1464,(np.float64(-3.8627797844126794),)
1467,(np.float64(-3.8627797848361536),)
1482,(np.float64(-3.8627797855526236),)
1514,(np.float64(-3.8627797867365317),)
1561,(np.float64(-3.8627797871759033),)
1623,(np.float64(-3.8627797873049037),)
1697,(np.float64(-3.8627797873140857),)
1742,(np.float64(-3.862779787315178),)
1755,(np.float64(-3.862779787315388),)
1786,(np.float64(-3.8627797873201035),)
1812,(np.float64(-3.8627797873202425),)
1825,(np.float64(-3.862779787327376),)
1842,(np.float64(-3.8627797873286704),)
1862,(np.float64(-3.8627797873301555),)
1867,(np.float64(-3.862779787331427),)
1961,(np.float64(-3.862779787332101),)
1986,(np.float64(-3.8627797873322463),)
2039,(np.float64(-3.862779787332398),)
2041,(np.float64(-3.8627797873325456),)
2043,(np.float64(-3.8627797873325656),)
2138,(np.float64(-3.8627797873325758),)
2156,(np.float64(-3.862779787332624),)
2171,(np.float64(-3.8627797873326317),)
2172,(np.float64(-3.862779787332646),)
2181,(np.float64(-3.862779787332654),)
2245,(np.float64(-3.862779787332658),)
2286,(np.float64(-3.8627797873326584),)
2342,(np.float64(-3.862779787332659),)
2343,(np.float64(-3.8627797873326606),)
2356,(np.float64(-3.862779787332661),)
2393,(np.float64(-3.862779787332662),)
2426,(np.float64(-3.8627797873326624),)
2462,(np.float64(-3.862779787332663),)
6059,(np.float64(-3.8627797873326633),)
